"Date","Open","High","Low","Close","Volume"
"12/30/2016","405","413","404","413","23639"
"1/2/2017","405","410","405","410","5176"
"1/3/2017","410","420","405.1","420","26773"
"1/4/2017","419.95","436.9","412","420.5","94876"
"1/5/2017","425","436.95","420.05","436.1","316576"
"1/6/2017","449.95","457","441","441","313947"
"1/9/2017","436.05","455","436.05","455","244021"
"1/10/2017","455","462","455","457","151114"
"1/12/2017","457.1","462","450","451.15","132256"
"1/13/2017","455","457.95","440","449","93526"
"1/16/2017","447","447","440","440","31998"
"1/17/2017","438","438","418.5","418.5","52271"
"1/18/2017","410","430","410","430","10656"
"1/19/2017","430","437","430","433","93444"
"1/20/2017","430.05","435.5","430.05","435","67486"
"1/23/2017","436","439","428","428","17858"
"1/24/2017","438.95","439","429","429.1","7083"
"1/25/2017","428.1","438","426","435","4323"
"1/26/2017","428","430","428","428.1","24447"
"1/27/2017","428","432.9","428","429.4","61077"
"1/30/2017","435","435","427","427","11170"
"1/31/2017","424.5","424.5","411.9","420","277988"
"2/1/2017","420","420","411.2","411.2","24188"
"2/2/2017","413","420","411","420","50118"
"2/3/2017","413.1","430","413.1","425","93926"
"2/6/2017","420","428.95","419","428.95","40981"
"2/7/2017","425","429","425","429","12716"
"2/8/2017","429","430.05","429","430.05","57695"
"2/9/2017","431.5","431.5","430.05","430.05","49717"
"2/10/2017","432.55","432.95","430","430","20909"
"2/13/2017","430.05","440","430","440","3028"
"2/14/2017","435","435","427","427","2038"
"2/15/2017","430","432","427","430","82428"
"2/16/2017","428.05","433.8","427","430","4937"
"2/17/2017","429","429.9","425.1","425.1","6148"
"2/20/2017","425","430","425","425","2650"
"2/21/2017","426","428","426","428","1635"
"2/22/2017","422","422","414","414","34164"
"2/23/2017","414","420","403","409","52513"
"2/24/2017","400","415","400","415","12127"
"2/27/2017","424","424","412","412","12667"
"2/28/2017","412","419.95","412","415","73013"
"3/1/2017","415.1","420.15","415.1","420.15","32518"
"3/2/2017","423","425","421","425","36172"
"3/3/2017","421.25","425","421.2","423","1005"
"3/6/2017","425","428","418.25","428","13579"
"3/7/2017","422.05","427","417","427","63089"
"3/8/2017","425","426.5","420","426.5","8041"
"3/9/2017","427.95","428","425","428","11111"
"3/10/2017","428","428","425","425.5","8300"
"3/13/2017","422.15","429.5","422.05","425.5","16192"
"3/14/2017","425.5","426","422.35","425.5","18739"
"3/15/2017","425.5","427.9","424","424.9","31768"
"3/16/2017","424","425.5","420.05","425","52916"
"3/17/2017","425","425","425","425","12550"
"3/20/2017","425","425","421","425","8486"
"3/21/2017","422.05","422.05","422","422","2885"
"3/22/2017","422","422.1","422","422","10639"
"3/23/2017","422","422","418.05","418.05","15145"
"3/24/2017","415","418.05","405","414.5","6523"
"3/27/2017","415","415.1","410","411","12815"
"3/28/2017","411.55","412.1","411.5","412","9911"
"3/29/2017","412","412.05","412","412","1409"
"3/30/2017","414","414","410.5","411","3416"
"3/31/2017","411","411","400","400","93446"
"4/3/2017","405.05","405.15","400","400.15","15925"
"4/4/2017","400","400.05","400","400","16719"
"4/5/2017","400.1","424.95","400","400","41358"
"4/6/2017","409","409","399.95","400","25640"
"4/7/2017","400","400","400","400","5590"
"4/10/2017","395","400","395","400","3286"
"4/11/2017","400","405","400","400","32594"
"4/12/2017","400","400","395.5","400","1658"
"4/13/2017","400","400","396.1","396.1","1500"
"4/14/2017","400","400","396.55","396.55","3261"
"4/17/2017","400","400","396.2","400","2233"
"4/18/2017","397.15","400","397.15","400","39151"
"4/19/2017","400","400","396","400","4571"
"4/20/2017","399.95","399.95","396.05","398.9","2927"
"4/21/2017","397","399.8","396","399","34185"
"4/24/2017","399.95","399.95","397","398","8834"
"4/25/2017","398","399","397","397","89752"
"4/26/2017","397","398","396.5","397","16478"
"4/27/2017","399.65","410","397","410","50110"
"4/28/2017","400.1","409","400.1","409","80217"
"5/2/2017","410","419.3","402.05","419.3","42217"
"5/3/2017","410","425","410","419","42040"
"5/4/2017","419","419","414","418","13098"
"5/5/2017","419","419","413","413","10797"
"5/8/2017","419","419","416.3","419","14637"
"5/9/2017","419","419.95","419","419.95","19213"
"5/10/2017","418","419","418","419","6941"
"5/11/2017","419","420.1","419","420","68931"
"5/12/2017","417","423.5","417","420","17472"
