"Date","Open","High","Low","Close","Volume"
"6/12/2000","64.31","64.01","64.01","64.01","3554.12"
"6/13/2000","63.42","63.12","63.12","63.12","25244.43"
"6/14/2000","62.93","63.12","63.12","63.12","4813.3"
"6/19/2000","63.03","63.03","63.03","63.03","11159.95"
"6/20/2000","62.63","62.73","62.73","62.73","7687.06"
"6/21/2000","62.63","62.63","62.63","62.63","6082.63"
"6/22/2000","62.73","62.83","62.83","62.83","8194.79"
"6/23/2000","62.83","63.03","63.03","63.03","6630.98"
"6/26/2000","63.91","63.42","63.42","63.42","17862.01"
"6/27/2000","63.42","64.01","64.01","64.01","8550.21"
"6/28/2000","64.01","64.01","64.01","64.01","19486.75"
"6/29/2000","63.81","63.03","63.03","63.03","4589.9"
"6/30/2000","63.32","65.98","65.98","65.98","103323.45"
"7/3/2000","58.1","57.41","57.41","57.41","14967.94"
"7/4/2000","56.13","56.33","56.33","56.33","7270.72"
"7/5/2000","56.13","55.64","55.64","55.64","37998.66"
"7/6/2000","55.25","55.64","55.64","55.64","11170.1"
"7/7/2000","56.13","56.13","56.13","56.13","11180.26"
"7/10/2000","56.13","55.74","55.74","55.74","7514.43"
"7/11/2000","56.13","56.62","56.62","56.62","22451.91"
"7/12/2000","56.62","56.23","56.23","56.23","314.79"
"7/13/2000","56.33","56.33","56.33","56.33","9585.98"
"7/14/2000","56.13","55.64","55.64","55.64","45482.63"
"7/17/2000","55.15","55.15","55.15","55.15","4772.68"
"7/18/2000","54.65","54.06","54.06","54.06","51676.96"
"7/19/2000","54.95","53.67","53.67","53.67","26899.64"
"7/20/2000","54.16","53.77","53.77","53.77","13353.35"
"7/21/2000","53.67","53.67","53.67","53.67","11241.19"
"7/24/2000","53.87","53.67","53.67","53.67","14592.22"
"7/25/2000","53.18","53.18","53.18","53.18","217756.08"
"7/26/2000","53.18","53.08","53.08","53.08","19425.82"
"7/27/2000","52.88","52.59","52.59","52.59","23010.41"
"7/28/2000","53.18","53.18","53.18","53.18","91919.79"
"7/31/2000","53.18","53.18","53.18","53.18","22330.05"
"8/1/2000","53.18","53.67","53.67","53.67","117499.33"
"8/2/2000","53.57","53.57","53.57","53.57","102318.14"
"8/3/2000","53.37","53.97","53.97","53.97","8631.44"
"8/4/2000","53.47","53.97","53.97","53.97","26767.63"
"8/7/2000","53.67","53.67","53.67","53.67","55525.57"
"8/8/2000","53.67","53.67","53.67","53.67","24259.43"
"8/9/2000","53.97","53.28","53.28","53.28","20238.2"
"8/10/2000","53.18","53.18","53.18","53.18","29093.04"
"8/11/2000","53.18","53.57","53.57","53.57","75814.54"
"8/15/2000","52.78","53.18","53.18","53.18","3665.82"
"8/16/2000","53.18","53.18","53.18","53.18","5057.01"
"8/17/2000","53.37","53.77","53.77","53.77","61516.8"
"8/18/2000","53.67","53.28","53.28","53.28","9525.05"
"8/24/2000","60.56","58.1","58.1","58.1","265320.41"
"8/25/2000","58.1","57.12","57.12","57.12","75733.3"
"8/28/2000","56.33","56.23","56.23","56.23","24797.63"
"8/29/2000","54.65","54.95","54.95","54.95","33215.82"
"8/30/2000","54.75","54.16","54.16","54.16","17090.26"
"8/31/2000","53.67","53.47","53.47","53.47","16480.98"
"9/1/2000","54.06","53.47","53.47","53.47","28930.57"
"9/4/2000","54.06","53.47","53.47","53.47","5564.74"
"9/5/2000","53.57","53.67","53.67","53.67","61323.87"
"9/6/2000","54.16","53.97","53.97","53.97","164088.82"
"9/7/2000","53.77","53.77","53.77","53.77","9321.96"
"9/8/2000","54.06","54.06","54.06","54.06","18582.99"
"9/11/2000","53.47","53.47","53.47","53.47","5849.07"
"9/12/2000","53.57","53.47","53.47","53.47","5635.82"
"9/13/2000","53.28","53.18","53.18","53.18","17090.26"
"9/14/2000","53.28","53.47","53.47","53.47","4254.79"
"9/15/2000","53.18","53.18","53.18","53.18","14114.95"
"9/18/2000","52.98","52.98","52.98","52.98","548.35"
"9/19/2000","52.98","52.98","52.98","52.98","4762.53"
"9/20/2000","53.18","53.18","53.18","53.18","2772.22"
"9/21/2000","53.18","53.08","53.08","53.08","6519.28"
"9/22/2000","52.69","52.78","52.78","52.78","6742.68"
"9/25/2000","52.39","52.29","52.29","52.29","5148.4"
"9/26/2000","52.49","52.59","52.59","52.59","16755.16"
"9/27/2000","52.59","52.59","52.59","52.59","17801.08"
"9/28/2000","52.59","52.98","52.98","52.98","129938.76"
"9/29/2000","52.78","52.69","52.69","52.69","19141.5"
"10/2/2000","52.69","52.69","52.69","52.69","25477.99"
"10/3/2000","52.39","52.69","52.69","52.69","20014.79"
"10/4/2000","52.49","52.59","52.59","52.59","4549.28"
"10/5/2000","52.49","52.49","52.49","52.49","13312.73"
"10/6/2000","51.8","51.7","51.7","51.7","37176.13"
"10/9/2000","51.7","51.7","51.7","51.7","4457.89"
"10/10/2000","51.7","51.7","51.7","51.7","13353.35"
"10/11/2000","51.21","51.21","51.21","51.21","25092.11"
"10/12/2000","50.91","51.21","51.21","51.21","59506.19"
"10/13/2000","51.01","51.21","51.21","51.21","116473.71"
"10/16/2000","51.21","51.31","51.31","51.31","15942.78"
"10/17/2000","51.01","50.81","50.81","50.81","11332.58"
"10/18/2000","50.72","50.81","50.81","50.81","25742.01"
"10/19/2000","50.72","50.52","50.52","50.52","21020.1"
"10/20/2000","50.52","50.91","50.91","50.91","106593.25"
"10/23/2000","50.72","51.11","51.11","51.11","145495.67"
"10/24/2000","51.11","51.31","51.31","51.31","71001.24"
"10/25/2000","51.21","51.41","51.41","51.41","74199.95"
"10/26/2000","51.41","51.41","51.41","51.41","47391.7"
"10/27/2000","51.41","51.7","51.7","51.7","77510.36"
"10/30/2000","51.7","51.8","51.8","51.8","151832.17"
"10/31/2000","51.9","51.9","51.9","51.9","48143.14"
"11/1/2000","51.7","51.9","51.7","51.9","62694.74"
"11/2/2000","51.8","51.9","51.7","51.9","20756.08"
"11/3/2000","51.5","51.8","51.5","51.8","29509.38"
"11/7/2000","51.5","51.8","51.5","51.8","9332.11"
"11/8/2000","51.5","51.8","51.5","51.8","22736.24"
"11/9/2000","51.5","51.8","51.5","51.7","23863.4"
"11/10/2000","51.31","51.6","51.31","51.6","63517.27"
"11/13/2000","51.5","51.5","51.41","51.5","33297.06"
"11/14/2000","51.21","51.21","50.91","51.21","45320.16"
"11/15/2000","50.52","50.52","50.52","50.52","8560.36"
"11/16/2000","49.34","50.22","49.34","49.34","16633.3"
"11/17/2000","49.24","49.24","49.24","49.24","57079.23"
"11/20/2000","49.24","49.24","49.24","49.24","45726.34"
"11/21/2000","49.24","49.24","49.24","49.24","277404.43"
"11/22/2000","49.24","49.73","49.24","49.44","51473.87"
"11/23/2000","49.73","49.73","49.73","49.73","9291.49"
"11/24/2000","49.44","49.93","49.34","49.34","41634.02"
"11/27/2000","49.24","49.24","49.24","49.24","581403.87"
"11/28/2000","49.24","49.24","48.75","49.24","220944.64"
"11/29/2000","49.24","49.24","49.24","49.24","51179.38"
"11/30/2000","49.23","49.23","49.23","49.23","69051.55"
"12/1/2000","49.14","49.14","48.94","48.94","277170.88"
"12/4/2000","49.04","49.04","48.25","48.25","446397.94"
"12/5/2000","45.79","45.79","45.69","45.69","43685.26"
"12/6/2000","45.69","45.79","45.69","45.79","36637.94"
"12/7/2000","45.99","46.78","45.99","46.19","22269.12"
"12/8/2000","46.48","46.78","46.19","46.19","46305.16"
"12/11/2000","46.28","46.48","46.28","46.28","48518.87"
"12/12/2000","46.47","46.47","46.28","46.47","6092.78"
"12/13/2000","46.48","46.58","46.48","46.58","17496.44"
"12/14/2000","46.68","46.78","46.68","46.68","178589.64"
"12/15/2000","46.38","46.78","46.38","46.78","14206.34"
"12/18/2000","47.17","47.66","47.17","47.27","17862.01"
"12/19/2000","48.06","48.06","47.76","47.76","49158.61"
"12/20/2000","46.68","46.78","46.68","46.68","70320.88"
"12/21/2000","46.58","46.78","46.58","46.78","32088.66"
"12/22/2000","46.48","46.49","46.48","46.48","17740.16"
"12/25/2000","46.48","46.48","46.48","46.48","1827.84"
"12/26/2000","46.38","46.38","46.28","46.28","18826.7"
"12/29/2000","46.28","46.38","45.79","45.79","44416.39"
"1/2/2001","45.3","45.3","45.3","45.3","18288.5"
"1/3/2001","45.4","45.4","45.3","45.4","106034.74"
"1/4/2001","45.3","45.3","45.3","45.3","113599.95"
"1/5/2001","45.2","45.2","44.71","44.71","36292.68"
"1/8/2001","44.31","44.81","44.31","44.81","74829.54"
"1/9/2001","43.82","44.71","43.82","44.31","33550.93"
"1/10/2001","44.31","44.31","43.92","43.92","43969.59"
"1/12/2001","43.53","44.12","43.53","44.12","8793.92"
"1/15/2001","44.31","44.31","44.31","44.31","11982.47"
"1/16/2001","44.31","44.31","44.12","44.31","13597.06"
"1/17/2001","43.33","44.12","43.33","43.83","41522.32"
"1/18/2001","43.33","44.31","43.33","44.31","102460.31"
"1/19/2001","44.22","44.31","43.53","44.31","195984.54"
"1/22/2001","44.22","44.22","43.53","44.21","153751.39"
"1/23/2001","43.53","44.12","43.53","44.12","17709.69"
"1/24/2001","43.92","44.31","43.92","44.22","74179.64"
"1/25/2001","44.12","44.22","43.72","44.22","130903.45"
"1/26/2001","44.27","46.87","42.35","43.91","77530.67"
"1/29/2001","44.12","45.79","43.92","45.3","58013.45"
"1/30/2001","44.31","45.79","43.82","43.82","81958.09"
"1/31/2001","45","45","43.63","43.63","33916.5"
"2/1/2001","44.31","44.31","43.82","43.82","7311.34"
"2/2/2001","42.86","43.33","42.86","43.33","30829.48"
"2/5/2001","43.82","45.2","43.82","44.81","24990.57"
"2/6/2001","43.72","43.72","42.12","43.3","136782.99"
"2/7/2001","43.33","43.33","43.13","43.3","55545.88"
"2/8/2001","43.04","43.33","43.04","43.13","38364.23"
